round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,global_sst2_val_accuracy,global_sst2_val_f1,global_qqp_val_accuracy,global_qqp_val_f1,global_stsb_val_pearson,global_stsb_val_spearman,timestamp
1,9,0.6503,0.9224,0.1062,9,9,872.48,1,1,0.5585,0.7112,0.5684,0.2453,-0.0738,-0.0688,2026-02-17 12:56:08
2,9,0.7466,0.9332,0.3735,9,9,859.44,2,2,0.6835,0.6642,0.6434,0.0721,-0.0598,-0.0582,2026-02-17 13:10:27
3,9,0.8149,0.9384,0.5678,9,9,822.43,3,3,0.6984,0.6352,0.6728,0.2231,0.0700,0.0662,2026-02-17 13:24:10
4,9,0.8386,0.9422,0.6314,9,9,825.12,4,4,0.7603,0.7317,0.7531,0.5478,0.3105,0.3046,2026-02-17 13:37:55
5,9,0.8577,0.9459,0.6814,9,9,827.91,5,5,0.7890,0.7751,0.8098,0.7016,0.4453,0.4439,2026-02-17 13:51:43
6,9,0.8680,0.9489,0.7061,9,9,828.16,6,6,0.8257,0.8261,0.8346,0.7600,0.5275,0.5309,2026-02-17 14:05:31
7,9,0.8743,0.9511,0.7209,9,9,824.85,7,7,0.8326,0.8330,0.8418,0.7735,0.5584,0.5643,2026-02-17 14:19:16
8,9,0.8764,0.9527,0.7238,9,9,824.38,8,8,0.8498,0.8546,0.8489,0.7911,0.5848,0.5922,2026-02-17 14:33:00
9,9,0.8838,0.9553,0.7408,9,9,827.95,9,9,0.8589,0.8667,0.8503,0.7921,0.6139,0.6218,2026-02-17 14:46:48
10,9,0.8813,0.9567,0.7305,9,9,831.80,10,10,0.8601,0.8671,0.8540,0.7990,0.6281,0.6355,2026-02-17 15:00:40
11,9,0.8837,0.9579,0.7352,9,9,828.43,11,11,0.8670,0.8725,0.8559,0.8021,0.6506,0.6578,2026-02-17 15:14:29
12,9,0.8898,0.9606,0.7480,9,9,834.39,12,12,0.8716,0.8793,0.8562,0.8026,0.6576,0.6640,2026-02-17 15:28:23
13,9,0.8902,0.9609,0.7489,9,9,829.88,13,13,0.8716,0.8793,0.8582,0.8069,0.6557,0.6618,2026-02-17 15:42:13
14,9,0.8929,0.9626,0.7535,9,9,829.97,14,14,0.8773,0.8868,0.8597,0.8108,0.6687,0.6748,2026-02-17 15:56:03
15,9,0.8968,0.9637,0.7630,9,9,825.80,15,15,0.8773,0.8870,0.8604,0.8140,0.6734,0.6798,2026-02-17 16:09:49
16,9,0.8954,0.9643,0.7577,9,9,826.91,16,16,0.8784,0.8877,0.8612,0.8135,0.6828,0.6885,2026-02-17 16:23:35
17,9,0.8963,0.9644,0.7601,9,9,827.45,17,17,0.8842,0.8931,0.8615,0.8127,0.6934,0.6997,2026-02-17 16:37:23
18,9,0.9001,0.9645,0.7715,9,9,825.29,18,18,0.8853,0.8936,0.8619,0.8127,0.6929,0.6998,2026-02-17 16:51:08
19,9,0.8989,0.9658,0.7650,9,9,829.02,19,19,0.8842,0.8933,0.8621,0.8136,0.6928,0.6996,2026-02-17 17:04:57
20,9,0.8987,0.9671,0.7620,9,9,832.53,20,20,0.8842,0.8933,0.8620,0.8127,0.6948,0.7018,2026-02-17 17:18:50
21,9,0.8996,0.9665,0.7659,9,9,825.49,21,21,0.8830,0.8924,0.8623,0.8132,0.7003,0.7061,2026-02-17 17:32:35
22,9,0.8988,0.9672,0.7622,9,9,825.35,22,22,0.8876,0.8964,0.8627,0.8140,0.6966,0.7020,2026-02-17 17:46:21
23,9,0.8972,0.9670,0.7576,9,9,828.55,23,23,0.8876,0.8964,0.8625,0.8135,0.6956,0.7009,2026-02-17 18:00:09
24,9,0.8957,0.9676,0.7518,9,9,824.67,24,24,0.8876,0.8964,0.8626,0.8150,0.6976,0.7028,2026-02-17 18:13:54
25,9,0.8986,0.9671,0.7615,9,9,827.32,25,25,0.8888,0.8974,0.8629,0.8148,0.6981,0.7039,2026-02-17 18:27:41
