epoch,train_loss,train_accuracy,timestamp
1,0.329133900112997,0.8758122743682311,2026-02-24 14:51:48
2,0.2151543168803056,0.9418772563176896,2026-02-24 15:00:09
3,0.166749476202446,0.958393501805054,2026-02-24 15:08:20
4,0.1383850540890111,0.9668471720818292,2026-02-24 15:16:29
5,0.1155947731306005,0.9733604091456076,2026-02-24 15:24:39
6,0.0948916465052558,0.9788808664259928,2026-02-24 15:33:20
7,0.0806609866710463,0.9817990373044524,2026-02-24 15:41:34
8,0.0701590119341581,0.9847924187725632,2026-02-24 15:49:46
9,0.0586464031178583,0.9869494584837544,2026-02-24 15:57:56
10,0.0526573187631454,0.988522864019254,2026-02-24 16:06:41
11,0.0481300335172153,0.9897412755716004,2026-02-24 16:14:53
12,0.0399130347717005,0.9915012033694344,2026-02-24 16:23:07
13,0.0352544052942147,0.992358604091456,2026-02-24 16:31:18
14,0.0312687135089195,0.9929602888086644,2026-02-24 16:40:05
15,0.0268978702065673,0.993968110709988,2026-02-24 16:48:15
16,0.0267956204872882,0.9941486161251504,2026-02-24 16:56:20
17,0.0217377537718621,0.995006016847172,2026-02-24 17:04:28
18,0.019952414479552,0.9954572803850782,2026-02-24 17:13:17
19,0.0164453372957993,0.9963447653429602,2026-02-24 17:21:27
20,0.0140171085104119,0.9966004813477738,2026-02-24 17:29:38
21,0.0140410809061055,0.9968261131167268,2026-02-24 17:37:49
22,0.0116944422737158,0.9973977135980746,2026-02-24 17:46:35
23,0.0109847569111901,0.9976083032490974,2026-02-24 17:54:45
24,0.0090117998752873,0.9980294825511432,2026-02-24 18:02:52
25,0.0088286803373303,0.9981197352587244,2026-02-24 18:10:59
