accuracy,client_id,device_type,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_memory_total_gb,gpu_memory_utilization_pct,gpu_name,loss,phase,round,samples_processed,task,timestamp
0.8582026639689766,sst2_client_2,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.3678139561587678,task_complete,1,5931,sst2,2026-02-17 22:35:00
0.8924296071488788,sst2_client_2,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.3155460582454275,task_complete,2,5931,sst2,2026-02-17 23:10:43
0.9047378182431292,sst2_client_2,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.2835270331640956,task_complete,3,5931,sst2,2026-02-17 23:45:47
0.9224414095430788,sst2_client_2,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.258784167493494,task_complete,4,5931,sst2,2026-02-18 00:20:57
0.9298600573259148,sst2_client_2,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.2389022552331713,task_complete,5,5931,sst2,2026-02-18 00:55:51
0.9406508177373124,sst2_client_2,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.2095873079746221,task_complete,6,5931,sst2,2026-02-18 01:31:01
0.9468892261001516,sst2_client_2,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.1925455528206155,task_complete,7,5931,sst2,2026-02-18 02:06:13
0.958354409037262,sst2_client_2,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.1678946340933405,task_complete,8,5931,sst2,2026-02-18 02:41:22
0.9610520991401112,sst2_client_2,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.1528582745252868,task_complete,9,5931,sst2,2026-02-18 03:16:33
0.9637497892429608,sst2_client_2,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.1469088810447552,task_complete,10,5931,sst2,2026-02-18 03:51:41
0.9656044511886696,sst2_client_2,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.1315089557463437,task_complete,11,5931,sst2,2026-02-18 04:26:44
0.9730230989715056,sst2_client_2,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.1187380452541236,task_complete,12,5931,sst2,2026-02-18 05:01:47
0.9740347327600742,sst2_client_2,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.1045872418386141,task_complete,13,5931,sst2,2026-02-18 05:36:46
0.9765638172314955,sst2_client_2,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.1045356354235766,task_complete,14,5931,sst2,2026-02-18 06:12:03
0.977575451020064,sst2_client_2,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.099163839098284,task_complete,15,5931,sst2,2026-02-18 06:47:05
0.9790929017029169,sst2_client_2,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.0917755460767647,task_complete,16,5931,sst2,2026-02-18 07:22:13
0.9790929017029169,sst2_client_2,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.0849886859344044,task_complete,17,5931,sst2,2026-02-18 07:57:18
0.9797673242286292,sst2_client_2,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.0920856133523317,task_complete,18,5931,sst2,2026-02-18 08:32:28
0.9822964087000504,sst2_client_2,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.0774770646317391,task_complete,19,5931,sst2,2026-02-18 09:07:44
0.9833080424886192,sst2_client_2,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.0738605724869077,task_complete,20,5931,sst2,2026-02-18 09:42:50
0.9838138593829034,sst2_client_2,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.075289896132899,task_complete,21,5931,sst2,2026-02-18 10:19:12
0.9834766481200472,sst2_client_2,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.0706666927298741,task_complete,22,5931,sst2,2026-02-18 10:55:31
0.9870173663800372,sst2_client_2,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.0608202883957989,task_complete,23,5931,sst2,2026-02-18 11:30:38
0.9866801551171808,sst2_client_2,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.0663758978981038,task_complete,24,5931,sst2,2026-02-18 12:05:50
0.9860057325914684,sst2_client_2,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.064593832263508,task_complete,25,5931,sst2,2026-02-18 12:41:07
