client_id,round_num,participated,participation_rate,consecutive_participations,total_participations,data_samples,data_distribution,data_heterogeneity_score,local_accuracy,local_precision,local_recall,local_f1_score,local_loss,contribution_weight,per_class_precision,per_class_recall,per_class_f1,confusion_matrix_flat,upload_time,download_time,parameter_size_bytes
no_lora_client_1,1,True,1.0,1,1,999,"{""class_0"": 426, ""class_1"": 573}",0.01756272717838027,0.5505505505505506,0.5185876797346783,0.5505505505505506,0.5036880310335297,0.681397401151203,999,"{'0': 0.44020797227036396, '1': 0.5768595041322314}","{'0': 0.19874804381846636, '1': 0.8121000581733566}","{'0': 0.2738544474393531, '1': 0.6745590722396714}","[254, 1024, 323, 1396]",1.6351666450500488,0.0,15890432
no_lora_client_2,1,True,1.0,1,1,999,"{""class_0"": 613, ""class_1"": 386}",0.017742174447321513,0.6149482816149483,0.6669086282669421,0.6149482816149483,0.47092276600178623,0.661656087353116,999,"{'0': 0.614586818333891, '1': 0.75}","{'0': 0.9989124524197933, '1': 0.0051813471502590676}","{'0': 0.7609776304888153, '1': 0.010291595197255575}","[1837, 2, 1152, 6]",1.6338789463043213,0.0,15890432
no_lora_client_2,2,True,1.0,2,2,999,"{""class_0"": 613, ""class_1"": 386}",0.017742174447321513,0.6329662996329662,0.6230267246215496,0.6329662996329662,0.5569721334135141,0.6316260255518413,999,"{'0': 0.6361960928861039, '1': 0.602112676056338}","{'0': 0.9385535617183252, '1': 0.14766839378238342}","{'0': 0.7583479789103691, '1': 0.23717059639389737}","[1726, 113, 987, 171]",1.2790582180023193,0.0,15890432
no_lora_client_1,2,True,1.0,2,2,999,"{""class_0"": 426, ""class_1"": 573}",0.01756272717838027,0.6376376376376376,0.693538995650059,0.6376376376376376,0.5693939851268626,0.6475249172518494,999,"{'0': 0.7944785276073619, '1': 0.6184949457132161}","{'0': 0.202660406885759, '1': 0.9610238510762071}","{'0': 0.3229426433915212, '1': 0.752619589977221}","[259, 1019, 67, 1652]",1.277393102645874,0.0,15890432
no_lora_client_2,3,True,1.0,3,3,999,"{""class_0"": 613, ""class_1"": 386}",0.017742174447321513,0.701368034701368,0.6953207787103941,0.701368034701368,0.6873681684401818,0.5895210310580239,999,"{'0': 0.714936247723133, '1': 0.6641697877652933}","{'0': 0.8537248504622077, '1': 0.459412780656304}","{'0': 0.7781908302354399, '1': 0.5431342521694742}","[1570, 269, 626, 532]",1.2873485088348389,0.0,15890432
no_lora_client_1,3,True,1.0,3,3,999,"{""class_0"": 426, ""class_1"": 573}",0.01756272717838027,0.750417083750417,0.7567653051478157,0.750417083750417,0.7419330347743632,0.5692617506892593,999,"{'0': 0.7874186550976139, '1': 0.7339759036144579}","{'0': 0.568075117370892, '1': 0.8859802210587551}","{'0': 0.66, '1': 0.8028465998945704}","[726, 552, 196, 1523]",1.2878975868225098,0.0,15890432
no_lora_client_1,4,True,1.0,4,4,999,"{""class_0"": 426, ""class_1"": 573}",0.01756272717838027,0.8435101768435102,0.8431322181539108,0.8435101768435102,0.8431754395981089,0.4213811731527722,999,"{'0': 0.8264729620661824, '1': 0.8555176336746303}","{'0': 0.8012519561815337, '1': 0.8749272833042466}","{'0': 0.8136670639650377, '1': 0.8651136036813345}","[1024, 254, 215, 1504]",1.3705720901489258,0.0,15890432
no_lora_client_2,4,True,1.0,4,4,999,"{""class_0"": 613, ""class_1"": 386}",0.017742174447321513,0.7427427427427428,0.7388542358482239,0.7427427427427428,0.7386549083285645,0.5315919166834897,999,"{'0': 0.7675350701402806, '1': 0.6933066933066933}","{'0': 0.8330614464382817, '1': 0.5993091537132987}","{'0': 0.7989569752281617, '1': 0.6428902269569245}","[1532, 307, 464, 694]",1.3839106559753418,0.0,15890432
no_lora_client_2,5,True,1.0,5,5,999,"{""class_0"": 613, ""class_1"": 386}",0.017742174447321513,0.7954621287954621,0.7939184737364016,0.7954621287954621,0.7943246630766896,0.45772291869713516,999,"{'0': 0.8222923238696109, '1': 0.7488584474885844}","{'0': 0.8504622077215879, '1': 0.7081174438687392}","{'0': 0.8361400695001336, '1': 0.7279183311140701}","[1564, 275, 338, 820]",1.3057551383972168,0.0,15890432
no_lora_client_1,5,True,1.0,5,5,999,"{""class_0"": 426, ""class_1"": 573}",0.01756272717838027,0.9082415749082415,0.9082325491706125,0.9082415749082415,0.9082369591278281,0.2790576759627256,999,"{'0': 0.8927173061863743, '1': 0.9197674418604651}","{'0': 0.892018779342723, '1': 0.9203025014543339}","{'0': 0.8923679060665362, '1': 0.9200348938644954}","[1140, 138, 137, 1582]",1.3057451248168945,0.0,15890432
